First_Name;Calling_name;Birth_day;Birth_month;Birth_year;Death-day;Death_month;Death_year;Start_of_reign_day;Start_of_reign_moth;Start_of_reign_year;End_of_reign_day;End_of_reign_moth;End_of_reign_year;Other comment
Frederik 10.;na;26;5;1968;na;na;na;14;1;2024;na;na;na;
Margrethe 2.;na;16;04;1940;na;na;na;14;01;1972;14;1;2024;
Frederik 9.;na;11;03;1899;14;01;1972;20;04;1947;14;01;1972;
Christian 10.;na;26;09;1870;20;04;1974;14;05;1912;20;04;1974;
Frederik 8.;na;03;06;1843;14;05;1912;29;01;1912;14;05;1912;
Chrsitian 9.;na;08;04;1818;29;01;1906;15;11;1863;29;01;1906;
Frederik 7.;na;06;10;1808;15;11;1863;20;01;1848;15;11;1863;
Chrsitian 8.;na;18;09;1786;20;01;1848;na;na;1839;20;01;1848;
Frederik 6.;na;28;01;1768;03;12;1839;na;na;1808;03;12;1839;
Christian 7.;na;29;01;1749;13;03;1808;na;na;1766;13;03;1808;
Frederik 5.;na;31;03;1723;14;01;1766;na;na;1746;14;01;1766;
Christian 6.;na;30;11;1699;06;08;1746;na;na;1730;06;08;1746;
Frederik 4.;na;11;10;1671;12;10;1730;na;na;1699;12;10;1730;
Christian 5.;na;15;04;1646;25;08;1699;na;na;1670;25;08;1699;
Frederik 3.;na;18;03;1609;09;02;1670;na;na;1648;09;02;1670;
Christian 4.;na;12;04;1577;28;02;1648;na;na;1588;28;02;1648;
Frederik 2.;na;01;07;1534;04;04;1588;na;na;1559;04;04;1588;
Christian 3.;na;12;08;1503;01;01;1559;na;na;1536;01;01;1559;
Frederik 1.;na;07;10;1471;10;04;1533;na;na;1523;10;04;1533;
Christian 2.;na;01;07;1481;25;01;1559;na;na;1513;25;01;1523;
Hans;na;02;02;1455;20;02;1513;na;na;1482;20;02;1513;
Christian 1.;na;na;na;1426;21;05;1481;na;na;1448;21;05;1481;
Christoffer 3.;af Bayern;na;na;1416;na;N/A;1448;na;na;1440;na;na;1448;
Erik 7.;af Pommern;na;na;1382;na;N/A;1459;na;na;1396;na;na;1439;
Margrethe 1.;na;na;na;1353;28;10;1412;na;na;1387;28;10;1396;
Oluf 2.;na;na;na;1370;na;na;1387;na;na;1375;na;na;1387;
Valdemar 4.;Atterdag;na;na;1320;na;na;1375;na;na;1340;na;na;1375;
Christoffer 2.;na;na;na;1276;na;na;1332;na;na;1329;na;na;1332;
Valdemar 3.;na;na;na;1315;na;na;1364;na;na;1326;na;na;1329;
Christoffer 2.;na;na;na;1276;na;na;1332;na;na;1319;na;na;1326;
Erik 6.;Menved;na;na;1274;na;na;1319;na;na;1286;na;na;1319;
Erik 5. ;Klipping;na;na;1249;na;na;1286;na;na;1259;na;na;1286;
Christoffer 1.;na;na;na;1219;na;na;1259;na;na;1252;na;na;1259;
Abel;na;na;na;1218;na;na;1252;na;na;1250;na;na;1252;
Erik 4.;Plovpenning;na;na;1216;na;na;1250;na;na;1241;na;na;1250;
Valdamar 2.;Sejr;na;na;1170;na;na;1241;na;na;1202;na;na;1241;
Knud 4.;na;na;na;1163;na;na;1202;na;na;1182;na;na;1202;
Valdamar 1. ;Den Store;na;na;1131;na;na;1182;na;na;1157;na;na;1182;
Svend 3., Knud 3., Valdemar 1.;na;na;na;na;na;na;na;na;na;1146;na;na;1157;The time of the three kings
Erik 3.;Lam;na;na;na;27;08;1146;na;na;1137;27;08;1146;
Erik 2.;Emune;na;na;na;18;07;1137;na;na;1134;18;07;1137;
Niels;na;na;na;na;na;na;1134;na;na;1104;na;na;1134;
Erik 1. ;Ejegod;na;na;1056;na;na;1103;na;na;1095;na;na;1103;
Oluf 1. ;Hunger;na;na;na;na;na;1095;na;na;1086;na;na;1095;
Knud 2.;den Hellige;na;na;na;10;07;1086;na;na;1080;10;07;1086;
Harald 3. ;Hen;na;na;na;na;na;1080;na;na;1074;na;na;1080;
Svend 2. ;Estridsen;na;na;na;28;04;1076;na;na;1047;28;04;1074;
Magnus ;Den gode;na;na;1024;na;na;1047;na;na;1042;na;na;1047;
Hardeknud;na;na;na;1020;na;na;1042;na;na;1035;na;na;1042;
Knud 1. ;Den Store;na;na;995;na;na;1035;na;na;1018;na;na;1035;
Harald 2.;na;na;na;na;na;na;1018;na;na;1014;na;na;1018;
Svend 1.;Tveskæg;na;na;na;na;na;1014;na;na;987;na;na;1014;Took the throne 987 at the latest
Harald 1. ;Blåtand;na;na;na;na;na;na;na;na;na;na;na;987;Died at 987 at the latest
Gorm;Den gamle;na;na;908;na;na;958;na;na;936;na;na;958;Born between 908-918
